height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
184,74,32,False,True,-MC-ML-,M(CL),Serbia,ba,UEL,3,0,0,0,0,1.0,1.0,Rade Krunic,Rade,Krunic,294163,Midfielder,579,FK Crvena Zvezda,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.026666666666666,261,0.0,0.0,89.28571428571429,99
185,82,25,False,True,-DC-,D(C),Greece,gr,UEL,5,0,0,0,1,0.6,2.6,Giannis Michailidis,Giannis,Michailidis,399297,Defender,851,PAOK Thessaloniki FC,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.022,450,0.0,0.0,83.55704697986577,100
190,80,19,False,True,,Defender,Austria,at,UEL,1,0,0,0,0,1.0,1.0,Jannik Schuster,Jannik,Schuster,533784,Defender,361,Salzburg,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.02,90,0.0,0.0,92.3076923076923,101
196,82,31,False,True,,Goalkeeper,Romania,cz,UEL,2,1,0,0,0,0.0,0.0,Lukás Zima,Lukás,Zima,106429,Goalkeeper,1202,FC FCSB,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.02,164,0.0,0.0,50.0,102
181,75,32,False,True,-MC-ML-MR-,M(CLR),Greece,gr,UEL,4,1,0,0,1,2.0,0.75,Tasos Bakasetas,Tasos,Bakasetas,86081,Midfielder,685,Panathinaikos,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.02,245,1.0,0.0,85.625,103
178,71,23,False,True,-AML-,AM(L),Denmark,dk,UEL,5,4,0,0,3,0.2,0.2,Aral Simsir,Aral,Simsir,425339,Midfielder,395,FC Midtjylland,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.01,181,0.0,0.0,79.12087912087912,104
192,86,30,False,True,-DC-,D(C),Switzerland,ch,UEL,1,1,0,0,1,0.0,0.0,Gregory Wüthrich,Gregory,Wüthrich,243580,Defender,587,Young Boys,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.01,8,0.0,0.0,85.71428571428571,105
188,83,30,False,True,-DC-,D(C),Turkey,sk,UEL,5,0,1,0,0,0.4,1.8,Milan Skriniar,Milan,Skriniar,302918,Defender,223,Fenerbahce,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.01,450,2.0,0.0,92.6829268292683,106
187,85,27,False,True,-DC-DL-,D(CL),Scotland,ie,UEL,5,0,1,1,0,0.6,5.2,Liam Scales,Liam,Scales,384863,Defender,103,Celtic,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.008,450,2.0,0.0,92.1259842519685,107
180,77,33,False,True,-DMC-,DMC,Italy,ch,UEL,3,0,0,0,0,0.3333333333333333,1.3333333333333333,Remo Freuler,Remo,Freuler,302691,Midfielder,71,Bologna,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.006666666666667,270,0.0,0.0,84.06593406593407,108
175,70,25,False,True,-AMR-,AM(R),Greece,br,UEL,5,0,0,0,2,3.6,0.2,Tetê,Mateus,Cardoso Lemos Martins,387417,Forward,685,Panathinaikos,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.004,383,1.0,0.0,83.11688311688312,109
187,70,24,False,True,-DC-,D(C),France,nl,UEL,4,1,0,1,0,0.75,1.5,Ruben Kluivert,Ruben,Kluivert,414501,Defender,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0,288,1.0,0.0,93.75,110
182,72,21,False,True,-AMR-,AM(R),Denmark,cl,UEL,4,2,0,0,1,2.0,0.25,Darío Osorio,Darío,Osorio,445248,Midfielder,395,FC Midtjylland,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.9975000000000005,208,1.0,0.0,76.81159420289855,111
184,75,26,False,True,-DL-ML-,"D(L),M(L)",Austria,rs,UEL,4,0,1,1,1,0.75,0.5,Aleksa Terzic,Aleksa,Terzic,377261,Defender,361,Salzburg,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.994999999999999,352,0.0,0.0,81.33333333333333,112
191,0,22,False,True,,Goalkeeper,Sweden,se,UEL,3,0,0,0,0,0.0,0.0,Melker Ellborg,Melker,Ellborg,425235,Goalkeeper,493,Malmoe FF,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.993333333333333,270,0.0,0.0,47.31182795698925,113
190,82,29,False,True,-DC-DL-,D(CL),France,sn,UEL,5,0,0,1,0,0.4,2.2,Moussa Niakhaté,Moussa,Niakhaté,296319,Defender,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.986,450,1.0,0.0,93.24618736383442,114
180,75,30,False,True,-DL-ML-,"D(L),M(L)",Spain,rs,UEL,2,0,0,0,0,0.0,0.5,Mihailo Ristic,Mihailo,Ristic,244778,Defender,62,Celta Vigo,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.985,180,0.0,0.0,89.23076923076924,115
188,92,24,False,True,-DC-DL-,D(CL),Spain,br,UEL,4,0,0,0,1,0.25,1.5,Natan,Natan Bernardo,de Souza,402206,Defender,54,Real Betis,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.985,360,1.0,0.0,89.2156862745098,116
0,0,19,False,True,,Forward,Netherlands,,UEL,2,1,1,0,2,0.5,0.0,Aymen Sliti,Aymen,Sliti,534893,Forward,256,Feyenoord,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.984999999999999,84,0.0,0.0,82.92682926829268,117
195,90,28,False,True,-DC-DR-,D(CR),England,rs,UEL,5,0,0,1,0,0.8,1.8,Nikola Milenkovic,Nikola,Milenkovic,319785,Defender,174,Nottingham Forest,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.984,450,0.0,0.0,88.46153846153845,118
172,69,25,False,True,-AML-AMR-,AM(LR),Bulgaria,,UEL,5,0,1,0,0,3.0,0.6,Caio Vidal,Caio,Vidal Rocha,406808,Forward,9449,Ludogorets Razgrad,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.982000000000001,442,2.0,0.0,79.69924812030075,119
186,87,24,False,True,-FW-,FW,Norway,no,UEL,4,1,1,1,1,1.5,1.75,Noah Holm,Noah,Holm,400846,Forward,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.977500000000001,274,0.0,0.0,75.38461538461539,120
177,73,23,False,True,-AML-,AM(L),Spain,ma,UEL,5,2,1,2,0,1.4,1.0,Abde Ezzalzouli,Abde,Ezzalzouli,427283,Forward,54,Real Betis,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.976000000000001,265,0.0,0.0,77.63157894736842,121
184,76,26,False,True,-DC-DMC-,"D(C),DMC",Netherlands,nl,UEL,5,0,0,0,0,1.0,2.4,Melle Meulensteen,Melle,Meulensteen,379707,Midfielder,874,Go Ahead Eagles,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.975999999999999,450,0.0,0.0,84.79087452471484,122
191,86,31,False,True,-DC-DMC-DR-,"D(CR),DMC",Germany,de,UEL,5,0,0,0,1,0.4,2.0,Matthias Ginter,Matthias,Ginter,110182,Defender,50,Freiburg,10904,2025/2026,True,30,250,ceu,Europe,Europa League,6.974000000000001,450,0.0,0.0,82.70042194092827,123
