height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
185,74,27,False,True,-AML-FW-,"AM(L),FW",Portugal,co,UCL,5,2,1,2,1,3.2,1.4,Luis Suárez,Luis,Suárez,402887,Forward,296,Sporting,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.174000000000001,300,1.0,0.0,73.33333333333333,75
183,83,26,False,True,-MC-,M(C),Italy,br,UCL,4,0,0,1,1,1.5,1.0,Éderson,Éderson José,dos Santos Lourenço da Silva,362556,Midfielder,300,Atalanta,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.1675,310,1.0,0.0,86.11111111111111,76
179,79,24,False,True,-DC-DL-DR-,D(CLR),England,nl,UCL,5,1,1,1,0,0.4,0.8,Jurriën Timber,Jurriën,Timber,388650,Defender,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.1659999999999995,359,0.0,0.0,83.76623376623377,77
174,64,24,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,br,UCL,3,2,0,0,1,1.6666666666666667,0.0,Rodrygo,Rodrygo,Silva de Goes,347862,Forward,52,Real Madrid,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.16,104,0.0,0.0,83.92857142857143,78
170,64,22,False,True,-AMC-AMR-,AM(CR),Italy,,UCL,4,2,0,1,0,1.75,0.0,Francisco Conceição,Francisco,Fernandes da Conceição,409221,Forward,87,Juventus,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.154999999999999,228,1.0,0.0,91.02564102564102,79
187,73,26,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,fr,UCL,4,2,1,2,2,1.25,0.75,Randal Kolo Muani,Randal,Kolo Muani,333542,Forward,30,Tottenham,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.1525,188,2.0,0.0,59.523809523809526,80
168,60,23,False,True,-DR-MR-,"D(R),M(R)",Germany,br,UCL,3,0,0,1,0,0.6666666666666666,0.3333333333333333,Yan Couto,Yan,Bueno Couto,421975,Defender,44,Borussia Dortmund,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.1499999999999995,243,0.0,0.0,80.88235294117648,81
183,68,26,False,True,-DC-DMC-DR-,"D(CR),DMC",France,nl,UCL,4,0,0,1,0,1.0,0.75,Jordan Teze,Jordan,Teze,361839,Defender,248,Monaco,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.145,360,0.0,0.0,85.53459119496856,82
188,84,38,False,True,-DC-DMC-,"D(C),DMC",Cyprus,br,UCL,5,0,0,1,0,1.2,1.4,David Luiz,David Luiz,Moreira Marinho,27586,Defender,2748,Pafos FC,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.144,363,1.0,0.0,70.4225352112676,83
168,65,25,False,True,-AMC-AML-AMR-,AM(CLR),France,br,UCL,5,1,1,3,1,1.4,0.4,Igor Paixão,Igor Guilherme,Barbosa da Paixão,436553,Forward,249,Marseille,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.132,314,0.0,0.0,76.84210526315789,84
191,76,29,False,True,-DC-DMC-,"D(C),DMC",France,ch,UCL,1,0,0,0,0,1.0,1.0,Denis Zakaria,Denis,Zakaria,252419,Midfielder,248,Monaco,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.12,90,0.0,0.0,84.44444444444444,85
188,78,30,False,True,-DC-DMC-DR-,"D(CR),DMC",Cyprus,nl,UCL,5,0,2,1,0,0.4,2.4,Derrick Luckassen,Derrick,Luckassen,231140,Defender,2748,Pafos FC,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.111999999999999,450,1.0,0.0,77.25118483412322,86
194,75,24,False,True,-DC-,D(C),England,fr,UCL,1,0,0,0,0,0.0,0.0,Benoît Badiashile,Benoît,Badiashile,365406,Defender,15,Chelsea,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.11,81,0.0,0.0,95.95959595959596,87
0,0,21,False,True,,Forward,Norway,no,UCL,2,2,0,1,0,1.0,0.0,Daniel Bassi,Daniel,Bassi,437444,Forward,439,Bodoe/Glimt,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.105,66,0.0,0.0,75.0,88
183,74,30,False,True,-DR-FW-MC-MR-,"D(R),M(CR),FW",Spain,es,UCL,4,1,0,3,0,1.0,0.0,Marcos Llorente,Marcos,Llorente,254582,Midfielder,63,Atletico,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.105,272,0.0,0.0,92.0,89
183,72,23,False,True,-AMC-AMR-,AM(CR),France,fr,UCL,5,0,0,0,2,3.0,0.4,Maghnes Akliouche,Maghnes,Akliouche,426648,Midfielder,248,Monaco,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.102000000000001,433,0.0,0.0,84.66257668711657,90
174,66,27,False,True,-AMC-AML-AMR-,AM(CLR),England,gb-eng,UCL,5,2,0,4,1,2.0,0.0,Harvey Barnes,Harvey,Barnes,331382,Midfielder,23,Newcastle,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.1,262,0.0,0.0,75.86206896551724,91
189,90,27,False,True,-AML-FW-,"AM(L),FW",England,se,UCL,3,0,1,2,0,3.3333333333333335,0.0,Viktor Gyökeres,Viktor,Gyökeres,362815,Forward,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.096666666666667,238,0.0,0.0,78.125,92
174,66,30,False,True,-FW-MC-ML-,"M(CL),FW",Greece,pt,UCL,5,0,0,1,1,1.8,0.2,Chiquinho,Francisco Leonel,Lima Silva Machado,361961,Midfielder,843,Olympiacos,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.096000000000001,309,0.0,0.0,74.46808510638297,93
186,77,30,False,True,-DC-DR-,D(CR),Spain,uy,UCL,3,1,1,1,0,1.3333333333333333,3.6666666666666665,José María Giménez,José María,Giménez,135914,Defender,63,Atletico,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.093333333333334,217,1.0,0.0,91.869918699187,94
183,84,27,False,True,-DC-DR-MC-ML-MR-,"D(CR),M(CLR)",Italy,us,UCL,5,0,0,1,0,1.2,1.6,Weston McKennie,Weston,McKennie,338275,Midfielder,87,Juventus,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.086000000000001,419,1.0,0.0,72.93233082706767,95
190,88,25,False,True,-FW-,FW,Italy,rs,UCL,4,2,1,3,1,2.5,1.5,Dusan Vlahovic,Dusan,Vlahovic,315369,Forward,87,Juventus,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.0825000000000005,193,0.0,0.0,68.88888888888889,96
181,74,26,False,True,-DMC-,DMC,England,es,UCL,4,0,0,0,0,0.0,2.75,Martín Zubimendi,Martín,Zubimendi,372424,Midfielder,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.0825,343,3.0,0.0,88.93805309734513,97
193,81,25,False,True,-DC-,D(C),England,nl,UCL,4,1,0,0,0,0.75,1.75,Sven Botman,Sven,Botman,379732,Defender,23,Newcastle,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.0825,284,0.0,0.0,94.38775510204081,98
193,88,28,False,True,-DC-MC-ML-,"D(C),M(CL)",Italy,gb-sct,UCL,5,0,1,3,0,2.4,0.8,Scott McTominay,Scott,McTominay,336915,Midfielder,276,Napoli,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.072,429,0.0,0.0,86.66666666666667,99
190,75,20,False,True,-DC-DL-,D(CL),Netherlands,es,UCL,5,0,0,0,0,0.2,2.2,Yarek Gasiorowski,Yarek,Gasiorowski,504417,Defender,129,PSV Eindhoven,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.062,406,1.0,0.0,93.36492890995261,100
175,75,28,False,True,-DC-DL-ML-,"D(CL),M(L)",Italy,it,UCL,5,1,0,0,0,3.0,0.2,Federico Dimarco,Federico,Dimarco,255929,Defender,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.06,370,1.0,0.0,79.53488372093022,101
192,84,29,False,True,-GK-,GK,Czech Republic,cz,UCL,3,0,1,0,0,0.0,0.0,Jindrich Stanek,Jindrich,Stanek,303019,Goalkeeper,349,Slavia Prague,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.056666666666666,270,0.0,0.0,72.22222222222221,102
193,76,26,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,nl,UCL,5,1,0,1,1,1.4,0.8,Cody Gakpo,Cody,Gakpo,352825,Forward,26,Liverpool,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.054,295,0.0,0.0,81.44329896907216,103
190,85,31,False,True,-GK-,GK,Cyprus,cy,UCL,5,0,0,0,0,0.0,0.4,Neofytos Michael,Neofytos,Michael,296202,Goalkeeper,2748,Pafos FC,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.046000000000001,450,0.0,0.0,51.70454545454546,104
