teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Espanyol,6,0,0,0,219,Jofre Carreras,-AML-AMR-,AM(LR),430451,Forward,392,0,70,Spain,LaLiga,206,Spain,0,6.221666667
Mallorca,7,1,0,0,211,Marc Domenech,,Forward,537076,Forward,393,0,51,Spain,LaLiga,206,Spain,0,6.221428571
Atletico,8,0,0,0,132,Nahuel Molina,-DR-MR-,"D(R),M(R)",303728,Defender,394,0,63,Spain,LaLiga,206,Spain,1,6.21875
Real Sociedad,2,0,0,0,90,Yangel Herrera,-MC-,M(C),318505,Midfielder,395,0,68,Spain,LaLiga,206,Spain,1,6.21
Espanyol,5,0,0,0,80,Antoniu Roca,-AMR-,AM(R),506011,Forward,396,0,70,Spain,LaLiga,206,Spain,0,6.206
Mallorca,4,0,0,0,160,Toni Lato,-DL-ML-,"D(L),M(L)",312580,Defender,397,0,51,Spain,LaLiga,206,Spain,0,6.205
Mallorca,4,0,0,0,217,Marash Kumbulla,-DC-,D(C),343778,Defender,398,0,51,Spain,LaLiga,206,Spain,0,6.205
Athletic Club,8,0,1,0,257,Maroan Sannadi,-FW-,FW,541704,Forward,399,0,53,Spain,LaLiga,206,Spain,1,6.20375
Real Madrid,7,0,0,0,96,Gonzalo García,-FW-,FW,498798,Forward,400,0,52,Spain,LaLiga,206,Spain,0,6.201428571
Barcelona,1,0,0,0,46,Toni Fernández,,Forward,534797,Forward,401,0,65,Spain,LaLiga,206,Spain,0,6.2
Girona,11,0,0,0,555,Hugo Rincón,,Defender,481851,Defender,402,0,2783,Spain,LaLiga,206,Spain,1,6.195454545
Real Oviedo,7,0,0,0,196,Santi Cazorla,-MC-ML-MR-,M(CLR),4522,Midfielder,403,0,61,Spain,LaLiga,206,Spain,0,6.192857143
Real Betis,7,0,1,0,65,Cédric Bakambu,-AML-AMR-FW-,"AM(LR),FW",86513,Forward,404,0,54,Spain,LaLiga,206,Spain,0,6.192857143
Elche,1,0,0,0,5,Adam El Mokhtari,,Forward,508338,Forward,405,0,833,Spain,LaLiga,206,Spain,0,6.19
Real Oviedo,2,0,0,0,136,Oier Luengo,,Defender,448447,Defender,406,0,61,Spain,LaLiga,206,Spain,0,6.19
Real Betis,7,0,0,0,187,Pablo García,,Forward,551186,Forward,407,0,54,Spain,LaLiga,206,Spain,1,6.178571429
Valencia,5,1,0,0,85,Largie Ramazani,-AML-FW-,"AM(L),FW",388665,Forward,408,0,55,Spain,LaLiga,206,Spain,0,6.172
Rayo Vallecano,4,0,0,0,130,Iván Balliu,-DL-DR-MR-,"D(LR),M(R)",101613,Defender,409,0,64,Spain,LaLiga,206,Spain,1,6.17
Rayo Vallecano,3,0,0,0,33,Randy Nteka,-AMC-FW-,"AM(C),FW",422960,Midfielder,410,0,64,Spain,LaLiga,206,Spain,0,6.17
Villarreal,1,0,0,0,8,Adrià Alti,-DR-MR-,"D(R),M(R)",448041,Defender,411,0,839,Spain,LaLiga,206,Spain,0,6.16
Celta Vigo,2,0,0,0,151,Damián Rodríguez,-MC-,M(C),438846,Midfielder,412,0,62,Spain,LaLiga,206,Spain,1,6.16
Espanyol,7,0,0,0,120,Ramon Terrats,-MC-MR-,M(CR),444244,Midfielder,413,0,70,Spain,LaLiga,206,Spain,0,6.16
Sevilla,4,0,0,0,360,Ørjan Nyland,-GK-,GK,39187,Goalkeeper,414,0,67,Spain,LaLiga,206,Spain,1,6.1575
Real Sociedad,12,0,0,0,541,Pablo Marín,-DMC-,DMC,459677,Midfielder,415,0,68,Spain,LaLiga,206,Spain,1,6.1575
Villarreal,7,0,0,0,162,Ilias Akhomach,-AMR-,AM(R),428500,Forward,416,0,839,Spain,LaLiga,206,Spain,0,6.154285714
Celta Vigo,6,0,0,0,347,Carl Starfelt,-DC-,D(C),378626,Defender,417,1,62,Spain,LaLiga,206,Spain,1,6.153333333
Getafe,4,0,0,0,156,Javi Muñoz,-MC-,M(C),276819,Midfielder,418,0,819,Spain,LaLiga,206,Spain,0,6.1525
Mallorca,2,0,0,0,15,Jan Salas,,Midfielder,537870,Midfielder,419,0,51,Spain,LaLiga,206,Spain,0,6.15
Deportivo Alaves,8,0,0,0,269,Mariano Díaz,-FW-,FW,323236,Forward,420,0,60,Spain,LaLiga,206,Spain,1,6.15
Real Oviedo,1,0,0,0,13,Omar Falah,,Defender,557844,Defender,421,0,61,Spain,LaLiga,206,Spain,0,6.15
Real Sociedad,1,0,0,0,10,Urko González de Zárate,-DMC-,DMC,401173,Midfielder,422,0,68,Spain,LaLiga,206,Spain,0,6.15
Deportivo Alaves,3,0,0,0,34,Carlos Protesoni,-DMC-,DMC,362393,Midfielder,423,0,60,Spain,LaLiga,206,Spain,0,6.146666667
Espanyol,6,0,0,0,128,José Salinas,,Defender,402092,Defender,424,0,70,Spain,LaLiga,206,Spain,1,6.146666667
Deportivo Alaves,8,0,0,0,366,Jon Guridi,-FW-MC-,"M(C),FW",335041,Midfielder,425,0,60,Spain,LaLiga,206,Spain,0,6.1425
Sevilla,6,0,0,0,146,Adnan Januzaj,-AMC-AML-AMR-,AM(CLR),130334,Midfielder,426,0,67,Spain,LaLiga,206,Spain,1,6.128333333
Elche,4,0,0,0,142,Grady Diangana,-AMC-AML-AMR-FW-,"AM(CLR),FW",306943,Forward,427,0,833,Spain,LaLiga,206,Spain,1,6.1225
Real Sociedad,4,0,0,0,96,Aritz Elustondo,-DC-DR-,D(CR),256864,Defender,428,0,68,Spain,LaLiga,206,Spain,0,6.12
