playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-FW-,FW,Denmark,UCL,4,0,0,0,0,Youssoufa Moukoko,406701,Forward,10,Copenhagen,Europe,Champions League,277,0,0,439
-DR-MR-,"D(R),M(R)",Czech Republic,UCL,3,1,0,0,0,David Doudera,476672,Midfielder,349,Slavia Prague,Europe,Champions League,159,1,0,440
,Midfielder,Spain,UCL,4,1,0,0,0,Alejandro Rego,560362,Midfielder,53,Athletic Club,Europe,Champions League,244,0,0,441
-AMC-AML-,AM(CL),Kazakhstan,UCL,4,0,0,0,0,Valeri Gromyko,376895,Midfielder,1770,Kairat Almaty,Europe,Champions League,305,1,0,442
-DC-DMC-DR-,"D(CR),DMC",England,UCL,3,1,0,0,0,Trevoh Chalobah,353292,Defender,15,Chelsea,Europe,Champions League,225,0,0,443
-GK-,GK,Germany,UCL,4,0,0,0,0,Gregor Kobel,336028,Goalkeeper,44,Borussia Dortmund,Europe,Champions League,360,0,0,444
-MC-ML-MR-,M(CLR),Norway,UCL,4,1,0,1,0,Sondre Fet,321062,Midfielder,439,Bodoe/Glimt,Europe,Champions League,248,0,0,445
-DMC-,DMC,Portugal,UCL,3,3,0,0,1,Hidemasa Morita,409279,Midfielder,296,Sporting,Europe,Champions League,49,0,0,446
-GK-,GK,Portugal,UCL,3,0,0,0,0,Rui Silva,141833,Goalkeeper,296,Sporting,Europe,Champions League,270,0,0,447
,Midfielder,France,UCL,2,2,0,0,0,Pape Cabral,584953,Midfielder,248,Monaco,Europe,Champions League,34,0,0,448
-DC-,D(C),Germany,UCL,4,0,0,0,0,Edmond Tapsoba,369446,Defender,36,Leverkusen,Europe,Champions League,360,3,0,449
-FW-,FW,Germany,UCL,4,1,0,1,0,Christian Kofane,550465,Forward,36,Leverkusen,Europe,Champions League,191,0,0,450
-AML-,AM(L),Portugal,UCL,3,2,0,0,0,Andreas Schjelderup,424588,Forward,299,Benfica,Europe,Champions League,104,0,0,451
,Forward,Kazakhstan,UCL,4,0,0,0,0,Dastan Satpaev,556176,Forward,1770,Kairat Almaty,Europe,Champions League,350,2,0,452
-DC-DMC-,"D(C),DMC",Germany,UCL,4,0,0,0,0,Robin Koch,276205,Defender,45,Eintracht Frankfurt,Europe,Champions League,350,0,0,453
-AMC-AML-AMR-,AM(CLR),Italy,UCL,4,4,0,0,1,David Neres,326505,Forward,276,Napoli,Europe,Champions League,81,0,0,454
,Forward,Spain,UCL,2,2,0,0,1,Roony Bardghji,435529,Forward,65,Barcelona,Europe,Champions League,23,0,0,455
,Forward,Denmark,UCL,2,2,0,1,0,Viktor Dadason,584180,Forward,10,Copenhagen,Europe,Champions League,61,0,0,456
-FW-,FW,Spain,UCL,3,2,0,0,0,Robert Lewandowski,29400,Forward,65,Barcelona,Europe,Champions League,120,0,0,457
-DMC-,DMC,Belgium,UCL,4,0,0,0,0,Adem Zorgane,422197,Midfielder,2647,Union St.Gilloise,Europe,Champions League,354,0,0,458
-GK-,GK,Azerbaijan,UCL,4,0,0,0,0,Mateusz Kochalski,499524,Goalkeeper,2569,Qarabag FK,Europe,Champions League,360,0,0,459
-AMR-,AM(R),Italy,UCL,2,2,0,0,0,Edon Zhegrova,363181,Midfielder,87,Juventus,Europe,Champions League,21,0,0,460
-DR-MR-,"D(R),M(R)",Spain,UCL,3,2,0,0,0,Nahuel Molina,303728,Defender,63,Atletico,Europe,Champions League,135,1,0,461
-FW-MC-ML-MR-,"M(CLR),FW",Germany,UCL,4,1,0,0,0,Farès Chaïbi,444725,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,295,0,0,462
-DL-DMC-,"D(L),DMC",Czech Republic,UCL,4,1,0,0,0,Michal Sadílek,361838,Midfielder,349,Slavia Prague,Europe,Champions League,255,0,0,463
-DL-MR-,"D(L),M(R)",Azerbaijan,UCL,4,4,0,0,0,Toral Bayramov,389344,Defender,2569,Qarabag FK,Europe,Champions League,77,1,0,464
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,2,0,1,0,Brennan Johnson,379688,Forward,30,Tottenham,Europe,Champions League,151,0,1,465
-GK-,GK,Spain,UCL,4,0,0,0,0,Unai Simón,332823,Goalkeeper,53,Athletic Club,Europe,Champions League,360,0,0,466
-DL-DMC-,"D(L),DMC",Netherlands,UCL,4,1,0,0,0,Anass Salah-Eddine,437387,Defender,129,PSV Eindhoven,Europe,Champions League,286,0,0,467
-DC-,D(C),Czech Republic,UCL,3,0,0,0,0,Tomás Vlcek,365943,Defender,349,Slavia Prague,Europe,Champions League,248,0,0,468
-AMC-FW-,"AM(C),FW",Italy,UCL,2,1,0,0,0,Loïs Openda,363618,Forward,87,Juventus,Europe,Champions League,85,0,0,469
-AMC-AML-AMR-,AM(CLR),Germany,UCL,3,1,0,0,0,Malik Tillman,397465,Midfielder,36,Leverkusen,Europe,Champions League,164,1,0,470
,Midfielder,Czech Republic,UCL,2,0,0,0,0,David Moses,551510,Midfielder,349,Slavia Prague,Europe,Champions League,142,0,0,471
-DC-DMC-,"D(C),DMC",England,UCL,3,2,0,0,0,Christian Nørgaard,101856,Midfielder,13,Arsenal,Europe,Champions League,108,1,0,472
-AML-,AM(L),Belgium,UCL,3,3,0,1,0,Mamadou Diakhon,482831,Forward,124,Club Brugge,Europe,Champions League,51,1,0,473
-FW-MC-ML-MR-,"M(CLR),FW",England,UCL,2,2,0,0,0,Federico Chiesa,322971,Forward,26,Liverpool,Europe,Champions League,47,0,0,474
-AMC-AML-,AM(CL),Netherlands,UCL,4,1,0,0,0,Oscar Gloukh,439420,Midfielder,130,Ajax,Europe,Champions League,217,0,0,475
-DL-ML-,"D(L),M(L)",England,UCL,2,2,0,0,0,Lewis Hall,430294,Defender,23,Newcastle,Europe,Champions League,42,0,0,476
-FW-,FW,Spain,UCL,4,0,0,1,0,Georges Mikautadze,389020,Forward,839,Villarreal,Europe,Champions League,288,0,0,477
-GK-,GK,France,UCL,4,0,0,0,0,Lucas Chevalier,398299,Goalkeeper,304,PSG,Europe,Champions League,360,0,0,478
-AMC-AML-FW-,"AM(CL),FW",Italy,UCL,2,2,0,0,0,Kamaldeen Sulemana,422135,Forward,300,Atalanta,Europe,Champions League,57,0,0,479
-DMC-,DMC,Spain,UCL,3,3,0,0,0,Íñigo Ruíz de Galarreta,106586,Midfielder,53,Athletic Club,Europe,Champions League,80,0,0,480
-FW-,FW,Spain,UCL,3,3,0,0,0,Tani Oluwaseyi,445292,Forward,839,Villarreal,Europe,Champions League,84,0,0,481
-DMC-,DMC,Spain,UCL,3,1,0,0,0,Mikel Vesga,261516,Midfielder,53,Athletic Club,Europe,Champions League,180,0,0,482
,Midfielder,Norway,UCL,4,0,0,0,0,Sondre Auklend,395378,Midfielder,439,Bodoe/Glimt,Europe,Champions League,334,2,0,483
-MC-MR-,M(CR),Germany,UCL,3,3,0,0,0,Leon Goretzka,115519,Midfielder,37,Bayern,Europe,Champions League,49,0,0,484
-GK-,GK,Belgium,UCL,4,0,0,0,0,Kjell Scherpen,361867,Goalkeeper,2647,Union St.Gilloise,Europe,Champions League,360,0,0,485
-GK-,GK,Germany,UCL,4,0,0,0,0,Mark Flekken,115131,Goalkeeper,36,Leverkusen,Europe,Champions League,360,0,0,486
-DC-,D(C),France,UCL,3,1,0,0,0,Illia Zabarnyi,399826,Defender,304,PSG,Europe,Champions League,143,1,1,487
,Forward,France,UCL,2,2,0,0,0,Quentin Ndjantou,560493,Forward,304,PSG,Europe,Champions League,24,0,0,488
-AMC-FW-,"AM(C),FW",Portugal,UCL,3,3,0,0,0,Franjo Ivanovic,499993,Forward,299,Benfica,Europe,Champions League,60,0,0,489
,Forward,Spain,UCL,3,3,0,0,0,Nico Serrano,423109,Forward,53,Athletic Club,Europe,Champions League,57,0,0,490
-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Portugal,UCL,4,0,0,0,0,Fredrik Aursnes,303544,Midfielder,299,Benfica,Europe,Champions League,339,1,0,491
-GK-,GK,England,UCL,3,1,0,0,0,Giorgi Mamardashvili,401633,Goalkeeper,26,Liverpool,Europe,Champions League,214,0,0,492
