playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DL-ML-,"D(L),M(L)",11,1,0,0,0,Gideon Mensah,402749,Defender,308,Auxerre,22,fr,France,Ligue 1,6.495454545,866,2,0,173
-DC-DL-DR-MR-,"D(CLR),M(R)",12,0,0,0,1,Kelvin Amian,297210,Defender,302,Nantes,22,fr,France,Ligue 1,6.490833333,1080,2,0,174
,Forward,11,7,0,2,0,Rayan Fofana,554519,Forward,309,Lens,22,fr,France,Ligue 1,6.486363636,424,0,0,175
-MC-,M(C),12,5,0,0,0,Samir El Mourabet,512740,Midfielder,148,Strasbourg,22,fr,France,Ligue 1,6.485833333,598,0,0,176
-DC-DR-MR-,"D(CR),M(R)",7,1,0,1,0,Igor Silva,303017,Defender,146,Lorient,22,fr,France,Ligue 1,6.481428571,585,1,0,177
-GK-,GK,10,0,1,0,0,Donovan Léon,105321,Goalkeeper,308,Auxerre,22,fr,France,Ligue 1,6.481,856,0,1,178
-ML-MR-,M(LR),12,4,0,0,1,Giorgi Tsitaishvili,367803,Forward,314,Metz,22,fr,France,Ligue 1,6.461666667,702,0,0,179
-AMC-FW-,"AM(C),FW",12,4,0,3,0,Aiyegun Tosin,405227,Forward,146,Lorient,22,fr,France,Ligue 1,6.459166667,654,1,0,180
-AML-,AM(L),10,1,0,0,2,Cheikh Sabaly,399019,Forward,314,Metz,22,fr,France,Ligue 1,6.458,788,1,0,181
-DR-MR-,"D(R),M(R)",11,3,0,0,1,Lilian Raolisoa,471064,Defender,614,Angers,22,fr,France,Ligue 1,6.453636364,653,1,0,182
-FW-,FW,12,6,1,2,1,Jean-Philippe Krasso,396585,Forward,2832,Paris FC,22,fr,France,Ligue 1,6.4525,527,0,0,183
-AMC-FW-,"AM(C),FW",10,6,0,2,0,Youssef El-Arabi,70080,Forward,302,Nantes,22,fr,France,Ligue 1,6.45,341,0,0,184
-FW-,FW,12,4,0,3,0,Sidiki Cherif,511378,Forward,614,Angers,22,fr,France,Ligue 1,6.446666667,683,3,0,185
-DC-,D(C),12,0,0,0,0,Montassar Talbi,361797,Defender,146,Lorient,22,fr,France,Ligue 1,6.445,1080,1,0,186
-DR-,D(R),12,0,0,0,0,Carlens Arcus,313385,Defender,614,Angers,22,fr,France,Ligue 1,6.440833333,1059,3,0,187
-MC-,M(C),10,4,0,0,0,Djaoui Cissé,468829,Midfielder,313,Rennes,22,fr,France,Ligue 1,6.439,477,2,0,188
-DC-DMC-,"D(C),DMC",8,0,0,0,1,Ismaël Doukouré,432173,Defender,148,Strasbourg,22,fr,France,Ligue 1,6.43625,653,2,1,189
-AMC-,AM(C),8,6,0,0,3,Bilal Nadir,422240,Midfielder,249,Marseille,22,fr,France,Ligue 1,6.43375,240,1,0,190
-DMC-,DMC,12,1,0,0,0,Elisha Owusu,345988,Midfielder,308,Auxerre,22,fr,France,Ligue 1,6.4325,915,4,0,191
-DL-DMC-,"D(L),DMC",12,2,0,1,1,Louis Leroux,535607,Midfielder,302,Nantes,22,fr,France,Ligue 1,6.43,927,1,0,192
-DL-,D(L),12,4,0,0,0,Jacques Ekomié,430710,Defender,614,Angers,22,fr,France,Ligue 1,6.429166667,734,1,0,193
-AMC-AML-AMR-FW-,"AM(CLR),FW",12,9,0,1,0,Morgan Guilavogui,415955,Forward,309,Lens,22,fr,France,Ligue 1,6.420833333,416,2,0,194
-AMC-AMR-,AM(CR),11,3,0,1,0,Adam Karabec,399574,Midfielder,228,Lyon,22,fr,France,Ligue 1,6.42,656,2,0,195
-DC-DL-DR-MR-,"D(CLR),M(R)",12,3,1,2,0,Djibril Sidibé,10454,Defender,246,Toulouse,22,fr,France,Ligue 1,6.409166667,730,1,0,196
-GK-,GK,12,0,0,0,0,Guillaume Restes,468899,Goalkeeper,246,Toulouse,22,fr,France,Ligue 1,6.396666667,1080,2,0,197
-AMR-,AM(R),10,5,0,0,0,Ibrahim Mbaye,535536,Forward,304,PSG,22,fr,France,Ligue 1,6.39,453,0,0,198
-DR-ML-MR-,"D(R),M(LR)",10,8,0,0,0,Warren Kamanzi,397564,Defender,246,Toulouse,22,fr,France,Ligue 1,6.385,286,0,0,199
,Midfielder,12,6,0,0,0,Alpha Touré,547575,Midfielder,314,Metz,22,fr,France,Ligue 1,6.383333333,620,2,0,200
-DC-DL-ML-,"D(CL),M(L)",9,3,0,0,0,Nicolas Cozza,342540,Defender,302,Nantes,22,fr,France,Ligue 1,6.383333333,570,0,0,201
-AMC-AML-AMR-FW-,"AM(CLR),FW",11,3,0,2,2,Takumi Minamino,262838,Midfielder,248,Monaco,22,fr,France,Ligue 1,6.379090909,672,3,0,202
-FW-,FW,10,3,0,3,0,Prosper Peter,559360,Forward,614,Angers,22,fr,France,Ligue 1,6.378,550,0,0,203
-FW-,FW,7,2,1,0,1,Martín Satriano,403803,Forward,228,Lyon,22,fr,France,Ligue 1,6.375714286,356,1,0,204
-DMC-,DMC,11,1,0,0,0,Hugo Magnetti,330614,Midfielder,2332,Brest,22,fr,France,Ligue 1,6.368181818,873,2,0,205
-FW-,FW,11,4,0,2,0,Mostafa Mohamed,409837,Forward,302,Nantes,22,fr,France,Ligue 1,6.362727273,626,1,0,206
-FW-,FW,7,1,0,0,0,Kevin Carlos,400295,Forward,613,Nice,22,fr,France,Ligue 1,6.358571429,474,1,0,207
-DMC-,DMC,12,0,0,0,0,Laurent Abergel,122346,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.353333333,1038,4,0,208
-DMC-,DMC,9,2,0,1,0,Boubacar Traoré,386612,Midfielder,314,Metz,22,fr,France,Ligue 1,6.348888889,630,2,0,209
-AMC-AML-,AM(CL),10,10,0,1,2,Osame Sahraoui,366886,Forward,607,Lille,22,fr,France,Ligue 1,6.342,176,0,0,210
-DC-,D(C),8,6,0,0,0,Andrew Omobamidele,399490,Defender,148,Strasbourg,22,fr,France,Ligue 1,6.33875,194,0,0,211
-FW-,FW,12,9,0,2,2,Sambou Soumano,426904,Forward,146,Lorient,22,fr,France,Ligue 1,6.338333333,378,1,0,212
,Forward,8,4,0,1,0,Giorgi Abuashvili,498983,Forward,314,Metz,22,fr,France,Ligue 1,6.3375,279,1,0,213
-MC-,M(C),11,2,0,1,1,Yassine Kechta,477122,Midfielder,217,Le Havre,22,fr,France,Ligue 1,6.337272727,715,3,0,214
-GK-,GK,10,1,0,0,0,Philipp Köhn,383689,Goalkeeper,248,Monaco,22,fr,France,Ligue 1,6.332,821,1,0,215
-DC-DL-MC-ML-,"D(CL),M(CL)",10,3,0,0,0,Caio Henrique,320313,Defender,248,Monaco,22,fr,France,Ligue 1,6.331,683,1,0,216
,Midfielder,9,8,0,0,0,Lasso Coulibaly,531773,Midfielder,308,Auxerre,22,fr,France,Ligue 1,6.33,201,0,0,217
-DC-,D(C),11,1,0,0,0,Clément Akpa,511380,Defender,308,Auxerre,22,fr,France,Ligue 1,6.32,900,1,0,218
-AMC-,AM(C),10,2,0,0,1,Dermane Karim,438297,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.32,650,3,0,219
-DC-,D(C),7,1,0,0,0,Abdoulaye Faye,498812,Defender,146,Lorient,22,fr,France,Ligue 1,6.318571429,574,5,0,220
-FW-,FW,8,1,0,0,0,Mbwana Samatta,327685,Forward,217,Le Havre,22,fr,France,Ligue 1,6.3175,518,2,0,221
-AMR-FW-,"AM(R),FW",8,4,0,2,0,Terem Moffi,400505,Forward,613,Nice,22,fr,France,Ligue 1,6.315,332,0,0,222
-AMC-,AM(C),10,7,0,1,0,Kendry Páez,477772,Midfielder,148,Strasbourg,22,fr,France,Ligue 1,6.314,309,0,0,223
,Midfielder,8,8,0,1,1,Alexis Vossah,574367,Midfielder,246,Toulouse,22,fr,France,Ligue 1,6.3075,158,1,1,224
-DL-ML-,"D(L),M(L)",8,4,0,0,0,Florent Hanin,124006,Defender,614,Angers,22,fr,France,Ligue 1,6.305,383,0,0,225
-DL-ML-,"D(L),M(L)",9,1,0,0,1,Thibault De Smet,328433,Defender,2832,Paris FC,22,fr,France,Ligue 1,6.3,658,2,1,226
-FW-,FW,10,9,0,2,0,George Ilenikhena,470978,Forward,248,Monaco,22,fr,France,Ligue 1,6.3,214,0,0,227
,Forward,8,4,0,1,0,Isak Jansson,407884,Forward,613,Nice,22,fr,France,Ligue 1,6.29875,331,1,0,228
-DMC-,DMC,9,3,0,0,0,Kwon Hyeok-Kyu,493169,Midfielder,302,Nantes,22,fr,France,Ligue 1,6.29,533,2,0,229
-DC-,D(C),9,0,0,0,0,Lucas Høgsberg,555179,Defender,148,Strasbourg,22,fr,France,Ligue 1,6.284444444,797,0,1,230
