playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DL-MC-ML-MR-,"D(L),M(CLR)",England,EPL,7,0,0,0,Ian Maatsen,384134,Defender,24,Aston Villa,England,Premier League,6.265714286,171,1,0,256
-DMC-,DMC,England,EPL,7,0,0,0,Lamare Bogarde,408946,Defender,24,Aston Villa,England,Premier League,6.261428571,294,1,0,257
-FW-,FW,England,EPL,10,0,0,0,Igor Jesus,397497,Forward,174,Nottingham Forest,England,Premier League,6.261,331,0,0,258
-AMC-,AM(C),England,EPL,11,0,0,0,Josh King,515865,Midfielder,170,Fulham,England,Premier League,6.251818182,668,2,0,259
-AMC-AML-,AM(CL),England,EPL,9,0,0,0,Jamie Gittens,436425,Forward,15,Chelsea,England,Premier League,6.236666667,251,0,0,260
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,8,0,1,0,Hwang Hee-Chan,262854,Forward,161,Wolves,England,Premier League,6.23375,371,0,0,261
-GK-,GK,England,EPL,11,0,0,0,Matz Sels,78386,Goalkeeper,174,Nottingham Forest,England,Premier League,6.231818182,990,1,0,262
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,0,0,1,Jacob Bruun Larsen,307202,Forward,184,Burnley,England,Premier League,6.214444444,415,0,0,263
-DMC-,DMC,England,EPL,9,0,2,0,Mathias Jensen,339674,Midfielder,189,Brentford,England,Premier League,6.214444444,216,0,0,264
-DMC-,DMC,England,EPL,11,0,0,0,André,397585,Midfielder,161,Wolves,England,Premier League,6.208181818,707,3,0,265
-DMC-,DMC,England,EPL,8,0,0,0,Andrey Santos,451236,Midfielder,15,Chelsea,England,Premier League,6.2025,229,2,0,266
-DC-DL-,D(CL),England,EPL,11,0,0,0,Calvin Bassey,396976,Defender,170,Fulham,England,Premier League,6.194545455,908,3,0,267
-AMC-AMR-FW-,"AM(CR),FW",England,EPL,11,0,2,0,Lukas Nmecha,347340,Forward,19,Leeds,England,Premier League,6.184545455,274,0,0,268
-DL-DMC-,"D(L),DMC",England,EPL,7,0,0,0,Vitaly Janelt,298689,Midfielder,189,Brentford,England,Premier League,6.171428571,146,0,0,269
-AMC-AML-,AM(CL),England,EPL,11,0,1,0,Emile Smith Rowe,363686,Midfielder,170,Fulham,England,Premier League,6.170909091,218,0,0,270
-DL-ML-,"D(L),M(L)",England,EPL,8,0,0,0,Rico Henry,229562,Defender,189,Brentford,England,Premier League,6.16875,191,1,0,271
-FW-,FW,England,EPL,10,0,1,0,William Osula,416209,Forward,23,Newcastle,England,Premier League,6.165,213,0,0,272
