,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-GK-,GK,Italy,11,0,2,0,0,Marco Carnesecchi,383278,Goalkeeper,300,Atalanta,Italy,Serie A,6.802727273,990,0,0,63
-MC-,M(C),Italy,11,2,0,0,4,Jari Vandeputte,132779,Midfielder,2731,Cremonese,Italy,Serie A,6.797272727,738,1,0,64
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,9,2,0,3,0,Nicolò Zaniolo,332398,Midfielder,86,Udinese,Italy,Serie A,6.788888889,557,2,0,65
-GK-,GK,Italy,11,0,1,0,0,Adrian Semper,326640,Goalkeeper,777,Pisa,Italy,Serie A,6.788181818,990,0,0,66
-DC-,D(C),Italy,11,0,0,0,0,Victor Nelsson,376805,Defender,76,Verona,Italy,Serie A,6.783636364,990,2,0,67
-FW-MC-ML-MR-,"M(CLR),FW",Italy,11,0,1,1,2,Mario Pasalic,129903,Midfielder,300,Atalanta,Italy,Serie A,6.778181818,901,1,0,68
-DMC-,DMC,Italy,10,0,0,0,0,Nemanja Matic,38128,Midfielder,2889,Sassuolo,Italy,Serie A,6.772,892,1,0,69
-DC-DR-MR-,"D(CR),M(R)",Italy,10,2,0,1,1,Zeki Çelik,136481,Defender,84,Roma,Italy,Serie A,6.769,726,1,0,70
-MC-ML-,M(CL),Italy,7,3,1,2,0,Lorenzo Pellegrini,148546,Midfielder,84,Roma,Italy,Serie A,6.767142857,386,1,0,71
-FW-MC-ML-MR-,"M(CLR),FW",Italy,9,3,1,2,0,Charles De Ketelaere,386390,Forward,300,Atalanta,Italy,Serie A,6.766666667,565,2,0,72
-DC-DL-DMC-DR-,"D(CLR),DMC",Italy,9,0,0,0,0,Manuel Akanji,297390,Defender,75,Inter,Italy,Serie A,6.765555556,810,1,0,73
-AMC-FW-,"AM(C),FW",Italy,8,2,1,4,0,Federico Bonazzoli,149543,Forward,2731,Cremonese,Italy,Serie A,6.76375,485,0,0,74
-DMC-,DMC,Italy,11,0,0,0,0,Manu Koné,369570,Midfielder,84,Roma,Italy,Serie A,6.762727273,990,0,0,75
-FW-,FW,Italy,10,2,2,3,1,Keinan Davis,303107,Forward,86,Udinese,Italy,Serie A,6.761,562,2,0,76
-DMC-,DMC,Italy,11,2,0,0,0,Patrizio Masini,447452,Midfielder,278,Genoa,Italy,Serie A,6.760909091,834,3,0,77
-AMC-AMR-,AM(CR),Italy,8,1,1,1,0,Francisco Conceição,409221,Forward,87,Juventus,Italy,Serie A,6.75875,573,0,0,78
-DC-DL-,D(CL),Italy,11,0,0,0,0,Evan Ndicka,323450,Defender,84,Roma,Italy,Serie A,6.758181818,936,2,0,79
