playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,seasonName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DC-,D(C),Germany,GB,7,0,0,0,Cédric Zesiger,383857,Defender,1730,Augsburg,2025/2026,Germany,Bundesliga,6.172857143,211,2,0,264
-DR-MC-ML-MR-,"D(R),M(CLR)",Germany,GB,8,1,1,0,Marius Wolf,312666,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.1675,328,1,0,265
-DL-ML-,"D(L),M(L)",Germany,GB,9,0,1,0,Tom Rothe,437020,Defender,796,Union Berlin,2025/2026,Germany,Bundesliga,6.166666667,429,1,1,266
,Defender,Germany,GB,8,0,0,0,Nikolas Veratschnig,496994,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.1625,151,1,0,267
-AMC-AMR-,AM(CR),Germany,GB,9,0,0,0,Adrian Beck,399262,Midfielder,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.152222222,311,0,0,268
-AMC-AML-AMR-,AM(CLR),Germany,GB,6,0,0,0,Giovanni Reyna,389087,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.15,149,1,0,269
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,7,0,0,0,Leonardo Bittencourt,100805,Midfielder,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.148571429,179,1,0,270
-FW-,FW,Germany,GB,7,0,1,0,Budu Zivzivadze,295158,Forward,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.144285714,353,0,1,271
-FW-,FW,Germany,GB,6,0,0,1,Keke Topp,429336,Forward,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.14,144,2,0,272
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,7,0,0,0,Alexis Claude-Maurice,327905,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.131428571,436,1,0,273
-AMC-FW-,"AM(C),FW",Germany,GB,7,0,0,0,Jonas Wind,353565,Forward,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.12,271,1,0,274
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,8,0,0,0,Woo-yeong Jeong,366868,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.11625,161,0,0,275
-FW-,FW,Germany,GB,7,0,0,0,Robert Glatzel,136707,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.115714286,74,0,0,276
-FW-,FW,Germany,GB,8,0,0,0,Conrad Harder,538807,Forward,7614,RBL,2025/2026,Germany,Bundesliga,6.11125,91,1,0,277
-FW-,FW,Germany,GB,8,0,1,0,Phillip Tietz,298145,Forward,1730,Augsburg,2025/2026,Germany,Bundesliga,6.1075,170,2,0,278
,Forward,Germany,GB,6,0,0,0,Alexander Røssing-Lelesiit,527354,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.105,196,0,0,279
-FW-,FW,Germany,GB,8,0,0,0,Dzenan Pejcinovic,444298,Forward,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.10375,233,0,0,280
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,9,0,0,0,Tim Skarke,285654,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.09,319,0,0,281
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,7,0,0,0,Oladapo Afolayan,382797,Forward,283,St. Pauli,2025/2026,Germany,Bundesliga,6.085714286,145,1,0,282
,Forward,Germany,GB,6,0,0,0,Fabio Baldé,535020,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.085,72,0,0,283
-DR-MR-,"D(R),M(R)",Germany,GB,10,0,0,0,William Mikelbrencis,415817,Defender,38,Hamburg,2025/2026,Germany,Bundesliga,6.085,369,0,0,284
-AML-FW-,"AM(L),FW",Germany,GB,9,0,0,1,Elye Wahi,407661,Forward,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.077777778,308,1,0,285
-FW-,FW,Germany,GB,9,0,0,0,Nelson Weiper,459062,Forward,219,Mainz,2025/2026,Germany,Bundesliga,6.054444444,305,0,0,286
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,6,0,0,0,Ihlas Bebou,132021,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.053333333,77,0,0,287
